team,season,league,mp,pts_diff,gd,home_xg_overperf
Vancouver W'caps,2013,mls-wc,34,16,18,0
FC Dallas,2013,mls-wc,34,20,18,0
Chivas USA,2013,mls-wc,34,12,13,0
SJ Earthquakes,2012,mls-wc,34,6,13,0
RSL,2012,mls-wc,34,13,13,0
Seattle,2012,mls-wc,34,14,14,0
LA Galaxy,2012,mls-wc,34,8,10,0
Vancouver W'caps,2012,mls-wc,34,17,22,0
FC Dallas,2012,mls-wc,34,13,15,0
Rapids,2012,mls-wc,34,17,26,0
Portland Timbers,2012,mls-wc,34,20,28,0
Chivas USA,2012,mls-wc,34,-6,-8,0
LA Galaxy,2011,mls-wc,34,15,20,0
Seattle,2011,mls-wc,34,-1,5,0
RSL,2011,mls-wc,34,15,20,0
FC Dallas,2011,mls-wc,34,8,13,0
Rapids,2011,mls-wc,34,-1,13,0
Portland Timbers,2011,mls-wc,34,18,24,0
SJ Earthquakes,2011,mls-wc,34,8,15,0
Chivas USA,2011,mls-wc,34,4,6,0
Vancouver W'caps,2011,mls-wc,34,18,20,0
LA Galaxy,2010,mls-wc,30,-1,-2,0
RSL,2010,mls-wc,30,18,23,0
FC Dallas,2010,mls-wc,30,10,10,0
Seattle,2010,mls-wc,30,6,6,0
Rapids,2010,mls-wc,30,12,18,0
SJ Earthquakes,2010,mls-wc,30,2,5,0
Dynamo,2010,mls-wc,30,9,17,0
Chivas USA,2010,mls-wc,30,12,14,0
LA Galaxy,2009,mls-wc,30,2,-3,0
Dynamo,2009,mls-wc,30,12,10,0
Seattle,2009,mls-wc,30,7,13,0
Chivas USA,2009,mls-wc,30,15,19,0
RSL,2009,mls-wc,30,24,38,0
Rapids,2009,mls-wc,30,18,26,0
FC Dallas,2009,mls-wc,30,17,15,0
SJ Earthquakes,2009,mls-wc,30,14,16,0
Dynamo,2008,mls-wc,30,17,19,0
Chivas USA,2008,mls-wc,30,7,13,0
RSL,2008,mls-wc,30,20,27,0
Rapids,2008,mls-wc,30,10,17,0
FC Dallas,2008,mls-wc,30,6,4,0
LA Galaxy,2008,mls-wc,30,13,23,0
SJ Earthquakes,2008,mls-wc,30,11,12,0
Chivas USA,2007,mls-wc,30,15,22,0
Dynamo,2007,mls-wc,30,4,2,0
FC Dallas,2007,mls-wc,30,4,7,0
Rapids,2007,mls-wc,30,11,15,0
LA Galaxy,2007,mls-wc,30,8,10,0
RSL,2007,mls-wc,30,5,6,0
FC Dallas,2006,mls-wc,32,22,24,0
Dynamo,2006,mls-wc,32,12,12,0
Chivas USA,2006,mls-wc,32,13,21,0
Rapids,2006,mls-wc,32,21,21,0
LA Galaxy,2006,mls-wc,32,5,8,0
RSL,2006,mls-wc,32,9,12,0
SJ Earthquakes,2005,mls-wc,32,4,10,0
FC Dallas,2005,mls-wc,32,10,8,0
Rapids,2005,mls-wc,32,19,17,0
LA Galaxy,2005,mls-wc,32,21,25,0
RSL,2005,mls-wc,32,16,25,0
Chivas USA,2005,mls-wc,32,4,6,0
KC Wizards,2004,mls-wc,30,11,12,0
LA Galaxy,2004,mls-wc,30,15,16,0
Rapids,2004,mls-wc,30,15,19,0
SJ Earthquakes,2004,mls-wc,30,8,12,0
Dallas Burn,2004,mls-wc,30,8,19,0
SJ Earthquakes,2003,mls-wc,30,-1,-4,0
KC Wizards,2003,mls-wc,30,12,10,0
Rapids,2003,mls-wc,30,18,21,0
LA Galaxy,2003,mls-wc,30,24,22,0
Dallas Burn,2003,mls-wc,30,11,15,0
LA Galaxy,2002,mls-wc,28,19,23,0
SJ Earthquakes,2002,mls-wc,28,29,32,0
Dallas Burn,2002,mls-wc,28,9,13,0
Rapids,2002,mls-wc,28,15,27,0
KC Wizards,2002,mls-wc,28,12,10,0
