team,season,league,mp,pts_diff,gd,home_xg_overperf
1860 Munich,1995,bundesliga,34,17,0,0
Werder Bremen,1995,bundesliga,34,10,0,0
Stuttgart,1995,bundesliga,34,3,0,0
Freiburg,1995,bundesliga,34,8,0,0
Köln,1995,bundesliga,34,4,0,0
Düsseldorf,1995,bundesliga,34,12,0,0
Leverkusen,1995,bundesliga,34,2,0,0
St Pauli,1995,bundesliga,34,6,0,0
Kaiserslautern,1995,bundesliga,34,6,0,0
Eint Frankfurt,1995,bundesliga,34,18,0,0
Uerdingen,1995,bundesliga,34,10,0,0
Dortmund,1994,bundesliga,34,15,0,0
Werder Bremen,1994,bundesliga,34,16,0,0
Freiburg,1994,bundesliga,34,8,0,0
Kaiserslautern,1994,bundesliga,34,11,0,0
Gladbach,1994,bundesliga,34,10,0,0
Bayern Munich,1994,bundesliga,34,10,0,0
Leverkusen,1994,bundesliga,34,3,0,0
Karlsruher,1994,bundesliga,34,15,0,0
Eint Frankfurt,1994,bundesliga,34,21,0,0
Köln,1994,bundesliga,34,11,0,0
Schalke 04,1994,bundesliga,34,13,0,0
Stuttgart,1994,bundesliga,34,20,0,0
Hamburger SV,1994,bundesliga,34,11,0,0
1860 Munich,1994,bundesliga,34,15,0,0
Uerdingen,1994,bundesliga,34,12,0,0
Bochum,1994,bundesliga,34,9,0,0
MSV Duisburg,1994,bundesliga,34,12,0,0
Dresden,1994,bundesliga,34,10,0,0
Bayern Munich,1993,bundesliga,34,23,0,0
Kaiserslautern,1993,bundesliga,34,19,0,0
Leverkusen,1993,bundesliga,34,17,0,0
Dortmund,1993,bundesliga,34,28,0,0
Eint Frankfurt,1993,bundesliga,34,5,0,0
Karlsruher,1993,bundesliga,34,24,0,0
Stuttgart,1993,bundesliga,34,10,0,0
Werder Bremen,1993,bundesliga,34,15,0,0
MSV Duisburg,1993,bundesliga,34,4,0,0
Gladbach,1993,bundesliga,34,15,0,0
Köln,1993,bundesliga,34,10,0,0
Hamburger SV,1993,bundesliga,34,5,0,0
Dresden,1993,bundesliga,34,12,0,0
Schalke 04,1993,bundesliga,34,11,0,0
Freiburg,1993,bundesliga,34,6,0,0
Nürnberg,1993,bundesliga,34,12,0,0
Wattenscheid,1993,bundesliga,34,17,0,0
VfB Leipzig,1993,bundesliga,34,10,0,0
Werder Bremen,1992,bundesliga,34,23,0,0
Bayern Munich,1992,bundesliga,34,15,0,0
Eint Frankfurt,1992,bundesliga,34,9,0,0
Dortmund,1992,bundesliga,34,15,0,0
Leverkusen,1992,bundesliga,34,18,0,0
Karlsruher,1992,bundesliga,34,25,0,0
Stuttgart,1992,bundesliga,34,18,0,0
Kaiserslautern,1992,bundesliga,34,16,0,0
Gladbach,1992,bundesliga,34,2,0,0
Schalke 04,1992,bundesliga,34,3,0,0
Hamburger SV,1992,bundesliga,34,3,0,0
Köln,1992,bundesliga,34,24,0,0
Nürnberg,1992,bundesliga,34,14,0,0
Wattenscheid,1992,bundesliga,34,20,0,0
Dresden,1992,bundesliga,34,20,0,0
Bochum,1992,bundesliga,34,22,0,0
Uerdingen,1992,bundesliga,34,11,0,0
Saarbrücken,1992,bundesliga,34,6,0,0
Stuttgart,1991,bundesliga,38,17,0,0
Dortmund,1991,bundesliga,38,18,0,0
Eint Frankfurt,1991,bundesliga,38,6,0,0
Köln,1991,bundesliga,38,1,0,0
Kaiserslautern,1991,bundesliga,38,29,0,0
Leverkusen,1991,bundesliga,38,16,0,0
Nürnberg,1991,bundesliga,38,15,0,0
Karlsruher,1991,bundesliga,38,13,0,0
Werder Bremen,1991,bundesliga,38,7,0,0
Bayern Munich,1991,bundesliga,38,11,0,0
Schalke 04,1991,bundesliga,38,25,0,0
Hamburger SV,1991,bundesliga,38,7,0,0
Gladbach,1991,bundesliga,38,20,0,0
Dresden,1991,bundesliga,38,24,0,0
Bochum,1991,bundesliga,38,7,0,0
Wattenscheid,1991,bundesliga,38,11,0,0
S'gart Kickers,1991,bundesliga,38,1,0,0
Hansa Rostock,1991,bundesliga,38,25,0,0
MSV Duisburg,1991,bundesliga,38,15,0,0
Düsseldorf,1991,bundesliga,38,8,0,0
Kaiserslautern,1990,bundesliga,34,9,0,0
Bayern Munich,1990,bundesliga,34,1,0,0
Werder Bremen,1990,bundesliga,34,14,0,0
Eint Frankfurt,1990,bundesliga,34,17,0,0
Hamburger SV,1990,bundesliga,34,16,0,0
Stuttgart,1990,bundesliga,34,6,0,0
Köln,1990,bundesliga,34,8,0,0
Leverkusen,1990,bundesliga,34,10,0,0
Gladbach,1990,bundesliga,34,12,0,0
Dortmund,1990,bundesliga,34,-6,0,0
Wattenscheid,1990,bundesliga,34,2,0,0
Düsseldorf,1990,bundesliga,34,5,0,0
Karlsruher,1990,bundesliga,34,17,0,0
Bochum,1990,bundesliga,34,4,0,0
Nürnberg,1990,bundesliga,34,5,0,0
St Pauli,1990,bundesliga,34,11,0,0
Uerdingen,1990,bundesliga,34,4,0,0
Hertha BSC,1990,bundesliga,34,3,0,0
Bayern Munich,1989,bundesliga,34,20,0,0
Köln,1989,bundesliga,34,2,0,0
Eint Frankfurt,1989,bundesliga,34,16,0,0
Dortmund,1989,bundesliga,34,20,0,0
Leverkusen,1989,bundesliga,34,7,0,0
Stuttgart,1989,bundesliga,34,33,0,0
Werder Bremen,1989,bundesliga,34,18,0,0
Nürnberg,1989,bundesliga,34,16,0,0
Düsseldorf,1989,bundesliga,34,10,0,0
Karlsruher,1989,bundesliga,34,20,0,0
Hamburger SV,1989,bundesliga,34,22,0,0
Kaiserslautern,1989,bundesliga,34,15,0,0
St Pauli,1989,bundesliga,34,12,0,0
Uerdingen,1989,bundesliga,34,10,0,0
Gladbach,1989,bundesliga,34,17,0,0
Bochum,1989,bundesliga,34,18,0,0
Mannheim,1989,bundesliga,34,16,0,0
Homburg,1989,bundesliga,34,10,0,0
Bayern Munich,1988,bundesliga,34,21,0,0
Köln,1988,bundesliga,34,15,0,0
Werder Bremen,1988,bundesliga,34,26,0,0
Hamburger SV,1988,bundesliga,34,4,0,0
Stuttgart,1988,bundesliga,34,23,0,0
Gladbach,1988,bundesliga,34,18,0,0
Dortmund,1988,bundesliga,34,11,0,0
Leverkusen,1988,bundesliga,34,12,0,0
Kaiserslautern,1988,bundesliga,34,19,0,0
St Pauli,1988,bundesliga,34,21,0,0
Karlsruher,1988,bundesliga,34,10,0,0
Mannheim,1988,bundesliga,34,9,0,0
Uerdingen,1988,bundesliga,34,13,0,0
Nürnberg,1988,bundesliga,34,20,0,0
Bochum,1988,bundesliga,34,17,0,0
Eint Frankfurt,1988,bundesliga,34,16,0,0
S'gart Kickers,1988,bundesliga,34,4,0,0
Hannover 96,1988,bundesliga,34,5,0,0
